#Month,Average Housing Price (Euros),Mortgage Interest Rates,Consumer Price Index (Base Dec 2006=100),Yearly GDP Per Capita (USD),Net Yearly Household Income (Euro Million)
200501,328051.099,3.47,92.3,50878,84731
200502,330677.609,3.47,93,50878,84731
200503,332516.166,3.47,93.2,50878,84731
200504,334880.025,3.47,93.7,50878,84731
200505,337243.884,3.47,94,50878,84731
200506,340133.045,3.47,94.3,50878,84731
200507,345648.716,3.47,94.2,50878,84731
200508,351427.038,3.47,94.7,50878,84731
200509,355104.152,3.47,95.5,50878,84731
200510,362721.031,3.47,95.5,50878,84731
200511,365872.843,3.47,95.4,50878,84731
200512,369549.957,3.65,95.3,50878,84731
200601,371388.514,3.69,95,54306,91160
200602,372176.467,3.69,96.1,54306,91160
200603,374277.675,3.84,96.5,54306,91160
200604,379793.346,3.93,97.2,54306,91160
200605,387672.876,3.93,97.7,54306,91160
200606,394764.453,4.18,98,54306,91160
200607,403694.587,4.18,98.2,54306,91160
200608,412624.721,4.42,98.9,54306,91160
200609,416039.184,4.42,99.3,54306,91160
200610,418665.694,4.66,99.2,54306,91160
200611,418665.694,4.66,99.6,54306,91160
200612,421817.506,4.86,100,54306,91160
200701,425494.62,4.9,99.9,61360,99671
200702,427333.177,4.9,100.7,61360,99671
200703,427858.479,5.15,101.4,61360,99671
200704,429697.036,5.15,102.2,61360,99671
200705,428383.781,5.15,102.6,61360,99671
200706,427333.177,5.34,102.8,61360,99671
200707,428646.432,5.39,103.1,61360,99671
200708,427595.828,5.39,103.6,61360,99671
200709,427858.479,5.39,103.9,61360,99671
200710,426545.224,5.39,104,61360,99671
200711,426282.573,5.39,104.6,61360,99671
200712,423918.714,5.39,104.7,61360,99671
200801,420241.6,5.44,104.2,61262,102576
200802,416564.486,5.46,105.5,61262,102576
200803,413150.023,5.46,106.5,61262,102576
200804,409472.909,5.86,106.6,61262,102576
200805,405007.842,5.86,107.4,61262,102576
200806,401068.077,5.86,107.9,61262,102576
200807,398704.218,5.86,107.6,61262,102576
200808,394764.453,5.86,108.1,61262,102576
200809,389511.433,5.86,108.4,61262,102576
200810,381106.601,5.86,108.2,61262,102576
200811,374277.675,5.86,107.2,61262,102576
200812,367186.098,5.86,105.9,61262,102576
200901,357730.662,4.16,104.1,52105,92429
200902,347487.273,4.16,103.7,52105,92429
200903,338557.139,4.16,103.7,52105,92429
200904,330940.26,4.16,102.9,52105,92429
200905,323323.381,4.16,102.4,52105,92429
200906,317807.71,4.16,102.1,52105,92429
200907,313342.643,4.16,101.3,52105,92429
200908,309140.227,4.16,101.7,52105,92429
200909,309140.227,4.16,101.3,52105,92429
200910,305463.113,4.16,101.1,52105,92429
200911,304412.509,4.16,101.1,52105,92429
200912,300210.093,4.16,100.6,52105,92429
201001,297320.932,4.02,100,48715,87921
201002,292593.214,4.02,100.4,48715,87921
201003,288916.1,4.02,100.5,48715,87921
201004,287340.194,4.02,100.7,48715,87921
201005,282349.825,4.02,101.3,48715,87921
201006,279198.013,4.02,101.2,48715,87921
201007,276308.852,4.02,101.2,48715,87921
